company_name,Last Traded Price,pct_change,absolute_change,volume,buy_price,sell_price,buy_qty,sell_qty
Max Healthcare,1,75.8,2.6,27.3,3,285,719,0
Mazagon Dock,2,408.2,2.13,50.2,1,28,888,2
Metropolis,1,885.8,0.88,16.5,35,91,0,0
Minda Corp,596.65,2.58,15,204,95,596.65,0,1
MMTC,55.26,2.07,1.12,1,26,12,0,55.26
Motherson SWI,47.65,6.12,2.75,49,911,481,0,47.65
Motilal Oswal,860.5,-0.83,-7.2,912,890,0,860.5,0
MphasiS,2,890.2,0.08,2.3,410,473,0,0
MRF,153,580,0.87,1,320,8,953,0
MCX India,10,307,1.33,135,471,633,0,10
Muthoot Finance,3,781.2,0.83,31.3,429,282,0,3
Narayana Hruda,1,898.6,3.35,61.6,646,192,1,898.6
Natco Pharma,916.75,0.21,1.9,828,324,916.75,0,274
NALCO,278.5,-0.27,-0.75,5,757,96,278.5,0
NAVA,577.65,1.6,9.1,427,124,577.65,0,301
Navin Fluorine,5,845,0.65,37.5,148,636,0,5
NBCC (India),113.7,5.02,5.44,17,749,11,0,113.7
NCC,155.9,1.85,2.83,2,813,537,0,155.9
Netweb,3,250.9,4.18,130.3,578,563,0,3
Network 18,41.86,1.09,0.45,2,47,310,41.86,0
Neuland Lab,16,44,1.55,245,80,404,0,16
New India Assur,155.74,-2.03,-3.22,1,158,123,0,155.74
Newgen Software,828.25,-0.79,-6.6,328,501,828.25,0,4
NHPC,76.61,2.09,1.57,8,352,760,0,76.61
Nippon,888.45,-2.97,-27.2,1,47,323,0,888.45
Niva Bupa Healt,75.52,1.21,0.9,600,484,75.52,0,3
NLC India,239.01,0.6,1.42,543,79,0,239.01,0
NMDC,76.3,-0.27,-0.21,9,994,984,76.3,0
NMDC Steel,40.11,1.08,0.43,2,145,60,0,40.11
NTPC Green Ener,89.92,-0.16,-0.14,3,888,880,89.92,0
Nuvama Wealth,7,169,-1.81,-132.5,228,356,0,0
Oberoi Realty,1,675.3,1.03,17.1,430,811,0,1
